data,valor
1980-02-01,174000000
1980-03-01,170000000
1980-04-01,177000000
1980-05-01,183000000
1980-06-01,195000000
1980-07-01,211000000
1980-08-01,216000000
1980-09-01,227000000
1980-10-01,237000000
1980-11-01,251000000
1980-12-01,319000000
1981-01-01,285000000
1981-02-01,297000000
1981-03-01,303000000
1981-04-01,313000000
1981-05-01,321000000
1981-06-01,335000000
1981-07-01,365000000
1981-08-01,379000000
1981-09-01,396000000
1981-10-01,427000000
1981-11-01,448000000
1981-12-01,589000000
1982-01-01,588000000
1982-02-01,598000000
1982-03-01,584000000
1982-04-01,622000000
1982-05-01,636000000
1982-06-01,679000000
1982-07-01,750000000
1982-08-01,758000000
1982-09-01,787000000
1982-10-01,858000000
1982-11-01,922000000
1982-12-01,1147000000
1983-01-01,1151000000
1983-02-01,1181000000
1983-03-01,1144000000
1983-04-01,1191000000
1983-05-01,1206000000
1983-06-01,1285000000
1983-07-01,1487000000
1983-08-01,1441000000
1983-09-01,1559000000
1983-10-01,1630000000
1983-11-01,1697000000
1983-12-01,2204000000
1984-01-01,2211000000
1984-02-01,2239000000
1984-03-01,2309000000
1984-04-01,2419000000
1984-05-01,2513000000
1984-06-01,2820000000
1984-07-01,3243000000
1984-08-01,3430000000
1984-09-01,3890000000
1984-10-01,4161000000
1984-11-01,4436000000
1984-12-01,6473000000
1985-01-01,6630000000
1985-02-01,7070000000
1985-03-01,7333000000
1985-04-01,7813000000
1985-05-01,8383000000
1985-06-01,9581000000
1985-07-01,11563000000
1985-08-01,12678000000
1985-09-01,15174000000
1985-10-01,16005000000
1985-11-01,17789000000
1985-12-01,26436000000
1986-01-01,26759000000
1986-02-01,29792000000
1986-03-01,33332000
1986-04-01,39823000
1986-05-01,45485000
1986-06-01,50682000
1986-07-01,54981000
1986-08-01,57730000
1986-09-01,64659000
1986-10-01,66304000
1986-11-01,71527000
1986-12-01,89326000
1987-01-01,81560000
1987-02-01,74710000
1987-03-01,78819000
1987-04-01,87465000
1987-05-01,89231000
1987-06-01,96617000
1987-07-01,115817000
1987-08-01,128452000
1987-09-01,139097000
1987-10-01,155567000
1987-11-01,172036000
1987-12-01,248190000
1988-01-01,243000000
